File,Version,Rank,Name,Count
http://example.com/dbpedia_3-5,0,1,http://dbpedia.org/ontology/Place,413466
http://example.com/dbpedia_3-5,0,2,http://dbpedia.org/ontology/Work,320081
http://example.com/dbpedia_3-5,0,3,http://dbpedia.org/ontology/Person,312117
http://example.com/dbpedia_3-5,0,4,http://dbpedia.org/ontology/PopulatedPlace,311104
http://example.com/dbpedia_3-5,0,5,http://www.opengis.net/gml/_Feature,288986
http://example.com/dbpedia_3-5,0,6,http://dbpedia.org/ontology/Species,146096
http://example.com/dbpedia_3-5,0,7,http://dbpedia.org/ontology/Organisation,140151
http://example.com/dbpedia_3-5,0,8,http://dbpedia.org/ontology/MusicalWork,131046
http://example.com/dbpedia_3-5,0,9,http://dbpedia.org/ontology/TelevisionEpisode,74400
http://example.com/dbpedia_3-5,0,10,http://dbpedia.org/resource/Animal,67976
http://example.com/dbpedia_3-5-1,1,1,http://dbpedia.org/ontology/Place,413449
http://example.com/dbpedia_3-5-1,1,2,http://dbpedia.org/ontology/Work,320075
http://example.com/dbpedia_3-5-1,1,3,http://dbpedia.org/ontology/Person,317218
http://example.com/dbpedia_3-5-1,1,4,http://dbpedia.org/ontology/PopulatedPlace,311089
http://example.com/dbpedia_3-5-1,1,5,http://www.opengis.net/gml/_Feature,289190
http://example.com/dbpedia_3-5-1,1,6,http://dbpedia.org/ontology/Settlement,239667
http://example.com/dbpedia_3-5-1,1,7,http://dbpedia.org/ontology/Species,146096
http://example.com/dbpedia_3-5-1,1,8,http://dbpedia.org/ontology/Organisation,135021
http://example.com/dbpedia_3-5-1,1,9,http://dbpedia.org/ontology/MusicalWork,131042
http://example.com/dbpedia_3-5-1,1,10,http://dbpedia.org/ontology/TelevisionEpisode,74400
http://example.com/dbpedia_3-6,2,1,http://dbpedia.org/ontology/Place,462406
http://example.com/dbpedia_3-6,2,2,http://dbpedia.org/ontology/Person,363957
http://example.com/dbpedia_3-6,2,3,http://dbpedia.org/ontology/Work,355133
http://example.com/dbpedia_3-6,2,4,http://dbpedia.org/ontology/PopulatedPlace,340564
http://example.com/dbpedia_3-6,2,5,http://www.opengis.net/gml/_Feature,328605
http://example.com/dbpedia_3-6,2,6,http://dbpedia.org/ontology/Settlement,304407
http://example.com/dbpedia_3-6,2,7,http://dbpedia.org/ontology/Species,168589
http://example.com/dbpedia_3-6,2,8,http://dbpedia.org/resource/United_States,153737
http://example.com/dbpedia_3-6,2,9,http://dbpedia.org/ontology/Organisation,147939
http://example.com/dbpedia_3-6,2,10,http://dbpedia.org/ontology/MusicalWork,138927
http://example.com/dbpedia_3-7,3,1,http://dbpedia.org/ontology/Place,525846
http://example.com/dbpedia_3-7,3,2,http://dbpedia.org/ontology/Person,416315
http://example.com/dbpedia_3-7,3,3,http://www.opengis.net/gml/_Feature,375931
http://example.com/dbpedia_3-7,3,4,http://dbpedia.org/ontology/PopulatedPlace,360449
http://example.com/dbpedia_3-7,3,5,http://dbpedia.org/ontology/Settlement,323297
http://example.com/dbpedia_3-7,3,6,http://dbpedia.org/ontology/Work,262693
http://example.com/dbpedia_3-7,3,7,http://dbpedia.org/resource/United_States,192157
http://example.com/dbpedia_3-7,3,8,http://dbpedia.org/ontology/Species,182862
http://example.com/dbpedia_3-7,3,9,http://dbpedia.org/ontology/Organisation,169392
http://example.com/dbpedia_3-7,3,10,http://dbpedia.org/resource/Animal,129029
http://example.com/dbpedia_3-8,4,1,http://dbpedia.org/ontology/Person,763897
http://example.com/dbpedia_3-8,4,2,http://dbpedia.org/ontology/Place,572792
http://example.com/dbpedia_3-8,4,3,http://www.opengis.net/gml/_Feature,420058
http://example.com/dbpedia_3-8,4,4,http://dbpedia.org/ontology/PopulatedPlace,387323
http://example.com/dbpedia_3-8,4,5,http://dbpedia.org/ontology/Settlement,348560
http://example.com/dbpedia_3-8,4,6,http://dbpedia.org/ontology/Work,333304
http://example.com/dbpedia_3-8,4,7,http://dbpedia.org/ontology/Species,202354
http://example.com/dbpedia_3-8,4,8,http://dbpedia.org/resource/United_States,201493
